"Fap","diplome","Annee","Pourcentage"
"F5Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0925528396590352
"F5Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.339248911546381
"F5Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.520776910868807
"F5Z","En cours d'études initiales","1982-1984",0.00724686269250858
"G0A","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00299466727766484
"G0A","Bac + 2","1982-1984",0.00981942876461745
"G0A","Bac, brevet professionnel ou équivalent","1982-1984",0.0564052608323049
"G0A","CAP, BEP ou autre diplôme équivalent","1982-1984",0.559193610814284
"G0A","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.366020346354322
"G0A","En cours d'études initiales","1982-1984",0.00556668595680676
"G0B","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00274339389540212
"G0B","Bac + 2","1982-1984",0.00343951858287692
"G0B","Bac, brevet professionnel ou équivalent","1982-1984",0.0317547144564444
"G0B","CAP, BEP ou autre diplôme équivalent","1982-1984",0.517806146390105
"G0B","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.436595464077015
"G0B","En cours d'études initiales","1982-1984",0.00766076259815674
"G1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0232390621869385
"G1Z","Bac + 2","1982-1984",0.0988951037927955
"G1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.186501847644703
"G1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.404832129933255
"G1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.277517448200788
"G1Z","En cours d'études initiales","1982-1984",0.00901440824151973
"H0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.483993993520363
"H0Z","Bac + 2","1982-1984",0.0933806515998943
"H0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.18174584045286
"H0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.102889943423405
"H0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.132701922110253
"H0Z","En cours d'études initiales","1982-1984",0.00528764889322417
"J0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00155882560038549
"J0Z","Bac + 2","1982-1984",0.00344159699200669
"J0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0184229124931165
"J0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.172180953266059
"J0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.795061732046393
"J0Z","En cours d'études initiales","1982-1984",0.00933397960203968
"J1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00437887800185433
"J1Z","Bac + 2","1982-1984",0.00634748114796482
"J1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0390430999683542
