Fap3;type_sortie;Pourcentage
M2Z;Démissions               ;48.85
M2Z;Autres sorties           ;5.38
N0Z;Ruptures conventionnelles;5.35
N0Z;Licenciements            ;12.29
N0Z;Fins de période d'essai  ;7.2
N0Z;Fins de CDD              ;28.37
N0Z;Départs en retraite      ;7.41
N0Z;Démissions               ;31.27
N0Z;Autres sorties           ;8.12
P0Z;Ruptures conventionnelles;2.36
P0Z;Licenciements            ;5.35
P0Z;Fins de période d'essai  ;4.88
P0Z;Fins de CDD              ;70.82
P0Z;Départs en retraite      ;4.89
P0Z;Démissions               ;8.06
P0Z;Autres sorties           ;3.64
P1Z;Ruptures conventionnelles;13.13
P1Z;Licenciements            ;7.71
P1Z;Fins de période d'essai  ;2.5
P1Z;Fins de CDD              ;51.23
P1Z;Départs en retraite      ;4.26
P1Z;Démissions               ;18.23
P1Z;Autres sorties           ;2.94
P2Z;Ruptures conventionnelles;2.34
P2Z;Licenciements            ;4.54
P2Z;Fins de période d'essai  ;3.53
P2Z;Fins de CDD              ;59.45
P2Z;Départs en retraite      ;11.62
P2Z;Démissions               ;16.45
P2Z;Autres sorties           ;2.07
P3Z;Ruptures conventionnelles;4.51
P3Z;Licenciements            ;10.34
P3Z;Fins de période d'essai  ;8.47
P3Z;Fins de CDD              ;24.48
P3Z;Départs en retraite      ;1.38
P3Z;Démissions               ;48.52
P3Z;Autres sorties           ;2.31
P4Z;Ruptures conventionnelles;0.92
P4Z;Licenciements            ;6.71
P4Z;Fins de période d'essai  ;2.96
P4Z;Fins de CDD              ;64.55
P4Z;Départs en retraite      ;6.67
P4Z;Démissions               ;16.96
P4Z;Autres sorties           ;1.23
Q0Z;Ruptures conventionnelles;2.66
Q0Z;Licenciements            ;4.48
Q0Z;Fins de période d'essai  ;3.74
Q0Z;Fins de CDD              ;68.51
Q0Z;Départs en retraite      ;10.05
Q0Z;Démissions               ;8.89
Q0Z;Autres sorties           ;1.68
Q1Z;Ruptures conventionnelles;3.53
Q1Z;Licenciements            ;8.2
Q1Z;Fins de période d'essai  ;4.59
Q1Z;Fins de CDD              ;40.54
Q1Z;Départs en retraite      ;16.5
Q1Z;Démissions               ;21.21
Q1Z;Autres sorties           ;5.44
Q2Z;Ruptures conventionnelles;6.08
Q2Z;Licenciements            ;14.01
Q2Z;Fins de période d'essai  ;3.36
Q2Z;Fins de CDD              ;14.01
Q2Z;Départs en retraite      ;26.12
Q2Z;Démissions               ;29.23
Q2Z;Autres sorties           ;7.21
R0Z;Ruptures conventionnelles;0.96
R0Z;Licenciements            ;3.59
R0Z;Fins de période d'essai  ;3.43
R0Z;Fins de CDD              ;81.92
R0Z;Départs en retraite      ;0.45
R0Z;Démissions               ;8.48
R0Z;Autres sorties           ;1.17
R1Z;Ruptures conventionnelles;3.5
R1Z;Licenciements            ;4.52
R1Z;Fins de période d'essai  ;5.02
R1Z;Fins de CDD              ;72.76
R1Z;Départs en retraite      ;0.85
R1Z;Démissions               ;11.87
R1Z;Autres sorties           ;1.47
R2Z;Ruptures conventionnelles;10.3
R2Z;Licenciements            ;17.53
R2Z;Fins de période d'essai  ;15.06
R2Z;Fins de CDD              ;22.72
R2Z;Départs en retraite      ;3.34
R2Z;Démissions               ;26.78
R2Z;Autres sorties           ;4.27
R3Z;Ruptures conventionnelles;4.37
R3Z;Licenciements            ;4.84
R3Z;Fins de période d'essai  ;3.38
R3Z;Fins de CDD              ;72.87
R3Z;Départs en retraite      ;2.34
R3Z;Démissions               ;9.54
R3Z;Autres sorties           ;2.66
R4Z;Ruptures conventionnelles;14.56
R4Z;Licenciements            ;17.88
R4Z;Fins de période d'essai  ;8.19
R4Z;Fins de CDD              ;16.99
R4Z;Départs en retraite      ;9.22
R4Z;Démissions               ;27.42
R4Z;Autres sorties           ;5.74
S0Z;Ruptures conventionnelles;2.93
S0Z;Licenciements            ;7.28
S0Z;Fins de période d'essai  ;7.82
S0Z;Fins de CDD              ;52.83
S0Z;Départs en retraite      ;1.89
S0Z;Démissions               ;21.06
S0Z;Autres sorties           ;6.2
S1Z;Ruptures conventionnelles;2.15
S1Z;Licenciements            ;4.02
S1Z;Fins de période d'essai  ;8.55
S1Z;Fins de CDD              ;62.64
S1Z;Départs en retraite      ;0.44
S1Z;Démissions               ;19.6
S1Z;Autres sorties           ;2.6
S2Z;Ruptures conventionnelles;1.75
S2Z;Licenciements            ;2.3
S2Z;Fins de période d'essai  ;5.23
S2Z;Fins de CDD              ;78.46
S2Z;Départs en retraite      ;0.31
S2Z;Démissions               ;10.63
S2Z;Autres sorties           ;1.32
S3Z;Ruptures conventionnelles;10.73
S3Z;Licenciements            ;11.6
S3Z;Fins de période d'essai  ;13.84
S3Z;Fins de CDD              ;19.6
S3Z;Départs en retraite      ;5.21
S3Z;Démissions               ;33.32
S3Z;Autres sorties           ;5.7
T0Z;Ruptures conventionnelles;10.93
T0Z;Licenciements            ;3.14
T0Z;Fins de période d'essai  ;6.3
T0Z;Fins de CDD              ;56.62
T0Z;Départs en retraite      ;0.42
T0Z;Démissions               ;18.01
T0Z;Autres sorties           ;4.59
T1Z;Ruptures conventionnelles;0.57
T1Z;Licenciements            ;0.94
