Fap3;Type_mmo;Annee;Taux;;;
ZZZ;Taux d'entrée;2011;3964.75;;;
A0Z;Taux d'entrée;2012;298.9;;;
A1Z;Taux d'entrée;2012;248.21;;;
A2Z;Taux d'entrée;2012;18.15;;;
A3Z;Taux d'entrée;2012;68.17;;;
B0Z;Taux d'entrée;2012;22.77;;;
B1Z;Taux d'entrée;2012;26.48;;;
B2Z;Taux d'entrée;2012;16.13;;;
B3Z;Taux d'entrée;2012;43.47;;;
B4Z;Taux d'entrée;2012;22.26;;;
B5Z;Taux d'entrée;2012;13.18;;;
B6Z;Taux d'entrée;2012;10.89;;;
B7Z;Taux d'entrée;2012;12.58;;;
C0Z;Taux d'entrée;2012;31.91;;;
C1Z;Taux d'entrée;2012;23.73;;;
C2Z;Taux d'entrée;2012;7.29;;;
D0Z;Taux d'entrée;2012;9.26;;;
D1Z;Taux d'entrée;2012;10;;;
D2Z;Taux d'entrée;2012;16.73;;;
D3Z;Taux d'entrée;2012;12.17;;;
D4Z;Taux d'entrée;2012;10.84;;;
D6Z;Taux d'entrée;2012;5.72;;;
E0Z;Taux d'entrée;2012;78.44;;;
E1Z;Taux d'entrée;2012;33.07;;;
E2Z;Taux d'entrée;2012;9.7;;;
Ensemble;Taux d'entrée;2012;58.26;;;
F0Z;Taux d'entrée;2012;26.44;;;
F1Z;Taux d'entrée;2012;15.84;;;
F2Z;Taux d'entrée;2012;13.57;;;
F3Z;Taux d'entrée;2012;5.45;;;
F4Z;Taux d'entrée;2012;27.89;;;
F5Z;Taux d'entrée;2012;11.49;;;
G0A;Taux d'entrée;2012;36.03;;;
G0B;Taux d'entrée;2012;18.91;;;
G1Z;Taux d'entrée;2012;12.3;;;
H0Z;Taux d'entrée;2012;9.7;;;
J0Z;Taux d'entrée;2012;40.51;;;
J1Z;Taux d'entrée;2012;18.63;;;
J3Z;Taux d'entrée;2012;32.79;;;
J4Z;Taux d'entrée;2012;15.5;;;
J5Z;Taux d'entrée;2012;22.22;;;
J6Z;Taux d'entrée;2012;8.06;;;
K0Z;Taux d'entrée;2012;116.89;;;
L0Z;Taux d'entrée;2012;25.04;;;
L1Z;Taux d'entrée;2012;18.4;;;
L2Z;Taux d'entrée;2012;143.33;;;
L3Z;Taux d'entrée;2012;13.64;;;
L4Z;Taux d'entrée;2012;9.7;;;
L5Z;Taux d'entrée;2012;13.62;;;
L6Z;Taux d'entrée;2012;121.38;;;
M0Z;Taux d'entrée;2012;43.07;;;
M1Z;Taux d'entrée;2012;16.56;;;
M2Z;Taux d'entrée;2012;18.12;;;
N0Z;Taux d'entrée;2012;11.3;;;
P0Z;Taux d'entrée;2012;3.44;;;
P1Z;Taux d'entrée;2012;2.87;;;
P2Z;Taux d'entrée;2012;4.42;;;
P3Z;Taux d'entrée;2012;15.91;;;
P4Z;Taux d'entrée;2012;9.8;;;
Q0Z;Taux d'entrée;2012;16.06;;;
Q1Z;Taux d'entrée;2012;11.42;;;
Q2Z;Taux d'entrée;2012;3.04;;;
R0Z;Taux d'entrée;2012;154.62;;;
R1Z;Taux d'entrée;2012;64.32;;;
R2Z;Taux d'entrée;2012;11.7;;;
R3Z;Taux d'entrée;2012;22.74;;;
R4Z;Taux d'entrée;2012;13.38;;;
S0Z;Taux d'entrée;2012;38.31;;;
S1Z;Taux d'entrée;2012;93.79;;;
S2Z;Taux d'entrée;2012;129.06;;;
S3Z;Taux d'entrée;2012;8.54;;;
T0Z;Taux d'entrée;2012;25.52;;;
T1Z;Taux d'entrée;2012;73.8;;;
T2A;Taux d'entrée;2012;67.5;;;
T2B;Taux d'entrée;2012;31.52;;;
T3Z;Taux d'entrée;2012;93.97;;;
T4Z;Taux d'entrée;2012;186.83;;;
T6Z;Taux d'entrée;2012;712.92;;;
U0Z;Taux d'entrée;2012;46.39;;;
U1Z;Taux d'entrée;2012;379.88;;;
V0Z;Taux d'entrée;2012;200.95;;;
V1Z;Taux d'entrée;2012;161.79;;;
V2Z;Taux d'entrée;2012;64.15;;;
V3Z;Taux d'entrée;2012;29.44;;;
V4Z;Taux d'entrée;2012;66.35;;;
V5Z;Taux d'entrée;2012;201.13;;;
W0Z;Taux d'entrée;2012;41.18;;;
W1Z;Taux d'entrée;2012;78;;;
X0Z;Taux d'entrée;2012;1.3;;;
ZZZ;Taux d'entrée;2012;5859.44;;;
A0Z;Taux d'entrée;2013;256.62;;;
A1Z;Taux d'entrée;2013;140.28;;;
A2Z;Taux d'entrée;2013;14.32;;;
A3Z;Taux d'entrée;2013;74.04;;;
B0Z;Taux d'entrée;2013;24.82;;;
B1Z;Taux d'entrée;2013;33.09;;;
B2Z;Taux d'entrée;2013;17.28;;;
B3Z;Taux d'entrée;2013;49.28;;;
B4Z;Taux d'entrée;2013;25.11;;;
B5Z;Taux d'entrée;2013;11.92;;;
B6Z;Taux d'entrée;2013;11.71;;;
B7Z;Taux d'entrée;2013;14.22;;;
C0Z;Taux d'entrée;2013;35.88;;;
C1Z;Taux d'entrée;2013;27.08;;;
C2Z;Taux d'entrée;2013;6.24;;;
D0Z;Taux d'entrée;2013;8.32;;;
D1Z;Taux d'entrée;2013;9.73;;;
D2Z;Taux d'entrée;2013;12.83;;;
D3Z;Taux d'entrée;2013;10.71;;;
D4Z;Taux d'entrée;2013;9.4;;;
D6Z;Taux d'entrée;2013;4.49;;;
E0Z;Taux d'entrée;2013;86.79;;;
E1Z;Taux d'entrée;2013;30.73;;;
E2Z;Taux d'entrée;2013;7.37;;;
Ensemble;Taux d'entrée;2013;62.33;;;
F0Z;Taux d'entrée;2013;33.59;;;
F1Z;Taux d'entrée;2013;11.68;;;
F2Z;Taux d'entrée;2013;15.15;;;
F3Z;Taux d'entrée;2013;4.11;;;
F4Z;Taux d'entrée;2013;25.91;;;
F5Z;Taux d'entrée;2013;9.56;;;
G0A;Taux d'entrée;2013;40.65;;;
G0B;Taux d'entrée;2013;21.67;;;
G1Z;Taux d'entrée;2013;12.63;;;
H0Z;Taux d'entrée;2013;8.71;;;
J0Z;Taux d'entrée;2013;39.72;;;
J1Z;Taux d'entrée;2013;18.57;;;
J3Z;Taux d'entrée;2013;33.27;;;
J4Z;Taux d'entrée;2013;15.6;;;
J5Z;Taux d'entrée;2013;27.73;;;
J6Z;Taux d'entrée;2013;5.93;;;
K0Z;Taux d'entrée;2013;138.3;;;
L0Z;Taux d'entrée;2013;30.37;;;
L1Z;Taux d'entrée;2013;21.11;;;
