"Fap3","Age","Part"
"U1Z","55 ans ou plus",15.3142492677728
"V0Z","55 ans ou plus",11.5357790171971
"V1Z","55 ans ou plus",18.0670284527851
"V2Z","55 ans ou plus",27.4918129146024
"V3Z","55 ans ou plus",13.2517314297862
"V4Z","55 ans ou plus",17.5114052790542
"V5Z","55 ans ou plus",14.2560523775368
"W0Z","55 ans ou plus",14.8442407893278
"W1Z","55 ans ou plus",35.0720646569076
"ZZZ","55 ans ou plus",8.67734025674311
