"Fap","Annee","Age","effectif_age","Pourcentage"
"G0A","1983-1985","De 30 à 49 ans",119.07237,53.6544403786981
"G0A","1983-1985","50 ans ou plus",34.64733,15.6122121510312
"G0B","1983-1985","Moins de 30 ans",74.61071,34.0667469022773
"G0B","1983-1985","De 30 à 49 ans",108.17859,49.3936144794122
"G0B","1983-1985","50 ans ou plus",36.22401,16.5396386183105
"G1Z","1983-1985","Moins de 30 ans",56.31431,22.6731949948857
"G1Z","1983-1985","De 30 à 49 ans",150.97202,60.7841603356552
"G1Z","1983-1985","50 ans ou plus",41.08762,16.5426446694591
"H0Z","1983-1985","Moins de 30 ans",9.91553,9.48365388569915
"H0Z","1983-1985","De 30 à 49 ans",62.24234,59.5313422072252
"H0Z","1983-1985","50 ans ou plus",32.39603,30.9850039070757
"J0Z","1983-1985","Moins de 30 ans",241.16385,52.9521051946293
"J0Z","1983-1985","De 30 à 49 ans",162.76144,35.7373664938146
"J0Z","1983-1985","50 ans ou plus",51.51241,11.3105283115561
"J1Z","1983-1985","Moins de 30 ans",94.42363,27.0234620572209
"J1Z","1983-1985","De 30 à 49 ans",190.87705,54.6278375261495
"J1Z","1983-1985","50 ans ou plus",64.11284,18.3487004166296
"J3Z","1983-1985","Moins de 30 ans",180.33428,28.0281351471452
"J3Z","1983-1985","De 30 à 49 ans",344.69893,53.5742189178692
"J3Z","1983-1985","50 ans ou plus",118.37128,18.3976459349856
"J4Z","1983-1985","Moins de 30 ans",10.84283,24.0443906814606
"J4Z","1983-1985","De 30 à 49 ans",27.05076,59.9860960349307
"J4Z","1983-1985","50 ans ou plus",7.20146,15.9695132836087
"J5Z","1983-1985","Moins de 30 ans",64.51189,46.4324899580356
"J5Z","1983-1985","De 30 à 49 ans",63.23337,45.512274055802
"J5Z","1983-1985","50 ans ou plus",11.1917,8.05523598616236
"J6Z","1983-1985","Moins de 30 ans",2.64101,8.25279261132556
"J6Z","1983-1985","De 30 à 49 ans",21.10192,65.9405944925552
"J6Z","1983-1985","50 ans ou plus",8.25848,25.8066128961193
"K0Z","1983-1985","Moins de 30 ans",61.96439,41.1028596502458
"K0Z","1983-1985","De 30 à 49 ans",58.59808,38.8698841062403
"K0Z","1983-1985","50 ans ou plus",30.19198,20.0272562435139
"L0Z","1983-1985","Moins de 30 ans",267.07368,46.4748744441324
"L0Z","1983-1985","De 30 à 49 ans",251.39328,43.7462468188502
